1641297139.0
1641297160.0,S3:,1.00,-0.04,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.23,-0.89,0.09
1641297160.0,S3:,1.03,0.00,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.23,-1.14,0.02
1641297160.0,S3:,1.02,0.01,-0.15
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.19,-1.01,0.30
1641297160.0,S3:,1.02,-0.04,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.10,-0.93,-0.02
1641297160.0,S3:,1.01,0.05,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.23,-1.11,0.36
1641297160.0,S3:,1.00,-0.03,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.20,-0.89,0.12
1641297160.0,S3:,1.02,0.02,-0.16
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.17,-1.19,0.14
1641297160.0,S3:,1.01,0.03,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.17,-1.02,0.35
1641297160.0,S3:,1.02,-0.02,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.17,-0.87,-0.02
1641297160.0,S3:,1.01,0.04,-0.11
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.14,-1.17,0.33
1641297160.0,S3:,1.01,-0.02,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.22,-0.92,0.18
1641297160.0,S3:,1.03,0.00,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.21,-1.15,0.05
1641297160.0,S3:,1.01,0.05,-0.11
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.15,-1.04,0.38
1641297160.0,S3:,1.04,-0.04,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.00,-0.98,-0.05
1641297160.0,S3:,1.03,0.04,-0.15
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.01,-1.15,0.27
1641297160.0,S3:,0.99,-0.03,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.18,-0.86,0.08
1641297160.0,S3:,1.04,-0.01,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.25,-1.13,-0.01
1641297160.0,S3:,1.01,0.02,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.30,-1.17,0.51
1641297160.0,S3:,1.01,-0.05,-0.16
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.22,-1.06,0.02
1641297160.0,S3:,1.00,0.05,-0.12
