 Time ,Sensor,X-Axis,Y-Axis,Z-Axis
1641807868658.00,S3:,0.13,-1,0.14
1641807868670.00,S3:,0.12,-1,0.14
1641807868683.00,S3:,0.13,-1,0.14
1641807868694.00,S3:,0.12,-1,0.15
1641807868707.00,S3:,0.13,-1,0.14
1641807868719.00,S3:,0.13,-1.01,0.14
1641807868731.00,S3:,0.13,-1,0.14
1641807868744.00,S3:,0.13,-1,0.14
1641807868756.00,S3:,0.12,-1,0.14
1641807868796.00,S3:,0.12,-1,0.14
1641807868801.00,S3:,0.13,-1,0.14
1641807868805.00,S3:,0.12,-1,0.14
1641807868810.00,S3:,0.13,-1,0.14
1641807868817.00,S3:,0.13,-1,0.14
1641807868829.00,S3:,0.12,-1,0.14
1641807868841.00,S3:,0.13,-1,0.15
1641807868853.00,S3:,0.13,-1,0.15
1641807868865.00,S3:,0.13,-1,0.15
1641807868877.00,S3:,0.13,-0.99,0.14
1641807868890.00,S3:,0.13,-1,0.15
1641807868902.00,S3:,0.12,-1,0.15
1641807868914.00,S3:,0.12,-1,0.14
1641807868927.00,S3:,0.12,-1,0.14
1641807868937.00,S3:,0.13,-1,0.15
1641807868950.00,S3:,0.13,-0.99,0.15
1641807868962.00,S3:,0.12,-0.99,0.15
1641807868974.00,S3:,0.12,-1,0.14
1641807868987.00,S3:,0.13,-1,0.14
1641807869000.00,S3:,0.12,-1,0.14
1641807869012.00,S3:,0.12,-1,0.14
1641807869023.00,S3:,0.13,-1,0.14
1641807869035.00,S3:,0.12,-1,0.14
1641807869048.00,S3:,0.13,-1,0.14
1641807869060.00,S3:,0.13,-1,0.14
1641807869072.00,S3:,0.12,-1,0.15
1641807869084.00,S3:,0.13,-0.99,0.14
1641807869097.00,S3:,0.13,-1,0.14
1641807869109.00,S3:,0.12,-1,0.14
1641807869121.00,S3:,0.13,-1,0.14
1641807869133.00,S3:,0.12,-1,0.15
1641807869145.00,S3:,0.13,-1,0.15
1641807869157.00,S3:,0.12,-1,0.15
1641807869169.00,S3:,0.13,-1,0.14
1641807869181.00,S3:,0.13,-1,0.14
1641807869193.00,S3:,0.12,-0.99,0.13
1641807869205.00,S3:,0.12,-1,0.15
1641807869217.00,S3:,0.13,-0.99,0.15
1641807869230.00,S3:,0.12,-1,0.14
1641807869242.00,S3:,0.12,-1,0.15
1641807869254.00,S3:,0.12,-1,0.15
1641807869267.00,S3:,0.13,-1,0.14
1641807869279.00,S3:,0.13,-1.01,0.15
1641807869291.00,S3:,0.12,-0.99,0.15
1641807869303.00,S3:,0.12,-1,0.14
1641807869315.00,S3:,0.13,-1,0.15
1641807869327.00,S3:,0.13,-1,0.14
1641807869339.00,S3:,0.13,-1,0.15
1641807869352.00,S3:,0.12,-1,0.14
1641807869364.00,S3:,0.13,-1,0.14
1641807869376.00,S3:,0.12,-1,0.15
1641807869388.00,S3:,0.12,-1,0.15
1641807869401.00,S3:,0.12,-1,0.14
1641807869413.00,S3:,0.12,-1,0.14
1641807869425.00,S3:,0.12,-1,0.14
1641807869437.00,S3:,0.12,-1,0.15
1641807869449.00,S3:,0.13,-1,0.15
1641807869462.00,S3:,0.12,-1,0.15
1641807869474.00,S3:,0.13,-0.99,0.14
1641807869486.00,S3:,0.12,-1,0.15
1641807869498.00,S3:,0.13,-1,0.15
1641807869510.00,S3:,0.12,-0.99,0.15
1641807869522.00,S3:,0.12,-1,0.14
1641807869534.00,S3:,0.13,-1,0.15
1641807869547.00,S3:,0.13,-1,0.14
1641807869559.00,S3:,0.12,-1,0.14
1641807869571.00,S3:,0.13,-0.99,0.14
1641807869583.00,S3:,0.13,-1,0.15
1641807869596.00,S3:,0.12,-1,0.15
1641807869608.00,S3:,0.12,-1,0.14
1641807869619.00,S3:,0.12,-1,0.15
1641807869632.00,S3:,0.13,-1,0.13
1641807869644.00,S3:,0.12,-1,0.14
1641807869656.00,S3:,0.13,-1,0.14
1641807869668.00,S3:,0.12,-1,0.15
1641807869680.00,S3:,0.13,-0.99,0.14
1641807869693.00,S3:,0.12,-1,0.15
1641807869705.00,S3:,0.13,-1,0.14
1641807869717.00,S3:,0.13,-1,0.14
1641807869729.00,S3:,0.12,-1,0.15
1641807869741.00,S3:,0.13,-1,0.14
1641807869753.00,S3:,0.13,-1,0.15
1641807869766.00,S3:,0.12,-1.01,0.15
1641807869778.00,S3:,0.13,-1,0.14
1641807869789.00,S3:,0.13,-1,0.15
1641807869802.00,S3:,0.12,-1,0.13
1641807869814.00,S3:,0.13,-1,0.14
1641807869826.00,S3:,0.12,-1,0.14
1641807869838.00,S3:,0.13,-1,0.14
1641807869850.00,S3:,0.12,-1,0.14
1641807869863.00,S3:,0.13,-1,0.14
1641807869875.00,S3:,0.13,-1,0.14
1641807869887.00,S3:,0.12,-1,0.15
1641807869899.00,S3:,0.13,-1.01,0.15
1641807869912.00,S3:,0.12,-1,0.14
1641807869924.00,S3:,0.12,-1,0.15
1641807869936.00,S3:,0.13,-1,0.14
1641807869948.00,S3:,0.12,-1,0.14
1641807869960.00,S3:,0.12,-1,0.14
1641807869973.00,S3:,0.12,-1,0.15
1641807869985.00,S3:,0.12,-1,0.14
1641807869997.00,S3:,0.13,-1,0.15
1641807870009.00,S3:,0.13,-1,0.15
1641807870021.00,S3:,0.13,-1,0.14
1641807870033.00,S3:,0.13,-1,0.14
1641807870045.00,S3:,0.13,-1,0.14
1641807870058.00,S3:,0.12,-1,0.14
1641807870070.00,S3:,0.13,-1,0.15
1641807870082.00,S3:,0.12,-1,0.14
1641807870094.00,S3:,0.13,-1,0.15
1641807870106.00,S3:,0.12,-1,0.15
1641807870119.00,S3:,0.13,-1,0.15
1641807870130.00,S3:,0.13,-1,0.14
1641807870143.00,S3:,0.13,-0.99,0.14
1641807870155.00,S3:,0.12,-1,0.14
1641807870167.00,S3:,0.12,-1,0.14
1641807870179.00,S3:,0.12,-1,0.14
1641807870191.00,S3:,0.13,-1,0.14
1641807870204.00,S3:,0.13,-1.01,0.14
1641807870216.00,S3:,0.13,-1,0.14
1641807870228.00,S3:,0.12,-1,0.14
1641807870240.00,S3:,0.13,-1,0.14
1641807870252.00,S3:,0.13,-1,0.15
1641807870265.00,S3:,0.13,-1,0.15
1641807870277.00,S3:,0.13,-1,0.14
1641807870289.00,S3:,0.13,-1,0.15
1641807870301.00,S3:,0.13,-1,0.15
1641807870313.00,S3:,0.13,-1,0.14
1641807870325.00,S3:,0.13,-1.01,0.15
1641807870337.00,S3:,0.13,-1.01,0.14
1641807870350.00,S3:,0.12,-1,0.14
1641807870362.00,S3:,0.13,-1,0.14
1641807870374.00,S3:,0.13,-1.01,0.15
1641807870386.00,S3:,0.12,-1,0.14
1641807870398.00,S3:,0.13,-1,0.14
1641807870410.00,S3:,0.12,-1,0.13
1641807870423.00,S3:,0.13,-1,0.14
1641807870435.00,S3:,0.13,-1,0.13
1641807870447.00,S3:,0.13,-1,0.14
1641807870477.00,S3:,0.12,-1,0.14
1641807870482.00,S3:,0.13,-1,0.15
1641807870486.00,S3:,0.12,-1,0.15
1641807870496.00,S3:,0.13,-1,0.15
1641807870508.00,S3:,0.13,-1,0.14
1641807870520.00,S3:,0.12,-1,0.14
1641807870532.00,S3:,0.13,-0.99,0.14
1641807870545.00,S3:,0.13,-1,0.15
1641807870557.00,S3:,0.13,-1,0.15
1641807870569.00,S3:,0.13,-1,0.14
1641807870581.00,S3:,0.12,-1,0.15
1641807870593.00,S3:,0.13,-1,0.14
1641807870605.00,S3:,0.13,-1,0.14
1641807870617.00,S3:,0.12,-1,0.15
1641807870630.00,S3:,0.13,-1,0.14
1641807870642.00,S3:,0.12,-1,0.14
1641807870654.00,S3:,0.13,-1,0.14
1641807870666.00,S3:,0.12,-1,0.15
1641807870678.00,S3:,0.14,-1,0.15
1641807870690.00,S3:,0.13,-1,0.16
1641807870702.00,S3:,0.13,-1,0.15
1641807870715.00,S3:,0.12,-1,0.14
1641807870727.00,S3:,0.12,-1,0.14
1641807870739.00,S3:,0.13,-1,0.14
1641807870751.00,S3:,0.13,-1,0.14
1641807870763.00,S3:,0.12,-1,0.14
1641807870775.00,S3:,0.13,-1,0.15
1641807870788.00,S3:,0.12,-1,0.14
1641807870800.00,S3:,0.12,-0.99,0.15
1641807870812.00,S3:,0.13,-1,0.14
1641807870824.00,S3:,0.13,-1,0.14
1641807870837.00,S3:,0.13,-1,0.14
1641807870848.00,S3:,0.12,-1,0.14
1641807870861.00,S3:,0.13,-1,0.15
1641807870873.00,S3:,0.13,-1,0.14
1641807870885.00,S3:,0.12,-1,0.15
1641807870898.00,S3:,0.13,-1,0.14
1641807870909.00,S3:,0.12,-1,0.14
1641807870922.00,S3:,0.12,-1,0.13
1641807870934.00,S3:,0.13,-1,0.15
1641807870946.00,S3:,0.13,-1,0.14
1641807870958.00,S3:,0.12,-1,0.14
1641807870970.00,S3:,0.12,-1.01,0.16
1641807870982.00,S3:,0.12,-1,0.14
1641807870995.00,S3:,0.13,-1,0.14
1641807871007.00,S3:,0.12,-0.99,0.14
1641807871019.00,S3:,0.13,-0.99,0.14
1641807871031.00,S3:,0.13,-1.01,0.14
1641807871043.00,S3:,0.12,-0.99,0.15
1641807871055.00,S3:,0.12,-1,0.15
1641807871068.00,S3:,0.13,-1,0.15
1641807871080.00,S3:,0.13,-1,0.14
1641807871092.00,S3:,0.13,-1,0.15
1641807871104.00,S3:,0.13,-1,0.14
1641807871116.00,S3:,0.13,-1,0.15
1641807871128.00,S3:,0.12,-0.99,0.14
1641807871141.00,S3:,0.13,-0.99,0.15
1641807871153.00,S3:,0.13,-1,0.14
1641807871165.00,S3:,0.12,-1,0.14
1641807871177.00,S3:,0.12,-1,0.14
1641807871189.00,S3:,0.12,-1,0.15
1641807871201.00,S3:,0.12,-1,0.14
1641807871214.00,S3:,0.12,-1,0.14
1641807871226.00,S3:,0.13,-1,0.14
1641807871238.00,S3:,0.12,-1,0.15
1641807871250.00,S3:,0.12,-1,0.15
1641807871262.00,S3:,0.13,-1,0.14
1641807871275.00,S3:,0.12,-1,0.15
1641807871287.00,S3:,0.13,-1,0.14
1641807871299.00,S3:,0.13,-1,0.14
1641807871311.00,S3:,0.13,-1,0.14
1641807871323.00,S3:,0.13,-1,0.14
1641807871335.00,S3:,0.12,-1,0.14
1641807871348.00,S3:,0.13,-1,0.15
1641807871360.00,S3:,0.13,-1,0.15
1641807871372.00,S3:,0.13,-1,0.14
1641807871384.00,S3:,0.13,-1,0.14
